student_id,name,grade,section,gender,aspiration,liked_subjects,disliked_subjects,psychometric_score,performance,career_suggestions,progress,assigned_teacher_id,parent_id,risk_flag
S0001,Dylan Watson,9,1,Female,['Artist'],['Economics'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'History']",41,"{'Math': 61, 'Science': 98, 'English': 89, 'Social Science': 60, 'Computer Science': 92, 'Economics': 82, 'History': 57}","['Engineer', 'Artist', 'Writer', 'Lawyer', 'Scientist']",0.22,T007,P0001,At Risk
S0002,Christine Harris,12,4,Female,"['Lawyer', 'Doctor', 'Data Scientist']","['Social Science', 'English', 'Economics']","['Math', 'History', 'Computer Science', 'Science']",62,"{'Math': 64, 'Science': 68, 'English': 76, 'Social Science': 61, 'Computer Science': 60, 'Economics': 79, 'History': 61}","['Entrepreneur', 'Lawyer', 'Doctor', 'Teacher', 'Artist']",0.62,T030,P0002,Normal
S0003,Cody Figueroa,12,2,Female,"['Teacher', 'Entrepreneur', 'Artist']","['Math', 'History', 'Science']","['Economics', 'Social Science', 'Computer Science', 'English']",80,"{'Math': 73, 'Science': 60, 'English': 69, 'Social Science': 61, 'Computer Science': 79, 'Economics': 72, 'History': 84}","['Entrepreneur', 'Data Scientist', 'Teacher', 'Writer', 'Engineer']",0.73,T023,P0003,Normal
S0004,Stephen Curry,9,10,Male,"['Artist', 'Data Scientist', 'Pilot']","['English', 'Economics']","['Math', 'Science', 'Social Science', 'Computer Science', 'History']",92,"{'Math': 99, 'Science': 90, 'English': 69, 'Social Science': 98, 'Computer Science': 75, 'Economics': 58, 'History': 69}","['Doctor', 'Entrepreneur', 'Scientist', 'Data Scientist', 'Teacher']",0.37,T019,P0004,At Risk
S0005,Jennifer Russo MD,11,4,Female,"['Pilot', 'Data Scientist']","['Science', 'History']","['Math', 'English', 'Social Science', 'Computer Science', 'Economics']",63,"{'Math': 90, 'Science': 89, 'English': 71, 'Social Science': 92, 'Computer Science': 82, 'Economics': 92, 'History': 80}","['Artist', 'Data Scientist', 'Pilot', 'Doctor', 'Scientist']",0.88,T005,P0005,Normal
S0006,Steven Armstrong,10,7,Male,"['Scientist', 'Pilot']","['English', 'Computer Science', 'Math']","['Economics', 'Social Science', 'History', 'Science']",47,"{'Math': 98, 'Science': 62, 'English': 98, 'Social Science': 89, 'Computer Science': 72, 'Economics': 96, 'History': 76}","['Lawyer', 'Scientist', 'Data Scientist', 'Artist', 'Doctor']",0.95,T029,P0006,At Risk
S0007,Christina Silva,11,9,Male,"['Engineer', 'Lawyer', 'Artist']",['English'],"['Math', 'Science', 'Social Science', 'Computer Science', 'Economics', 'History']",41,"{'Math': 65, 'Science': 89, 'English': 88, 'Social Science': 55, 'Computer Science': 93, 'Economics': 75, 'History': 86}","['Engineer', 'Entrepreneur', 'Lawyer', 'Teacher', 'Doctor']",0.39,T019,P0007,At Risk
S0008,Diana Smith,9,2,Female,['Writer'],['Science'],"['Math', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",67,"{'Math': 97, 'Science': 85, 'English': 90, 'Social Science': 65, 'Computer Science': 71, 'Economics': 88, 'History': 93}","['Artist', 'Writer', 'Teacher', 'Entrepreneur', 'Data Scientist']",0.52,T022,P0008,Normal
S0009,Lisa Brooks,11,8,Female,['Artist'],['Math'],"['Science', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",40,"{'Math': 76, 'Science': 56, 'English': 92, 'Social Science': 90, 'Computer Science': 69, 'Economics': 92, 'History': 69}","['Engineer', 'Doctor', 'Artist', 'Writer', 'Scientist']",0.88,T003,P0009,At Risk
S0010,Shirley Johnson,10,5,Female,['Writer'],['Economics'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'History']",46,"{'Math': 91, 'Science': 91, 'English': 85, 'Social Science': 70, 'Computer Science': 85, 'Economics': 81, 'History': 67}","['Engineer', 'Scientist', 'Entrepreneur', 'Artist', 'Writer']",0.57,T024,P0010,At Risk
S0011,Gerald Jones,9,2,Male,"['Entrepreneur', 'Engineer']",['Science'],"['Math', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",69,"{'Math': 67, 'Science': 89, 'English': 83, 'Social Science': 63, 'Computer Science': 82, 'Economics': 66, 'History': 72}","['Artist', 'Engineer', 'Pilot', 'Scientist', 'Lawyer']",0.28,T021,P0011,At Risk
